Image,No.,Side,Vegetable,Raw_Vegetable_OCR,Vegetable_Dictionary_Match,Vegetable_Dictionary_Confidence,Vegetable_Status,Vegetable_Duplicate_Status,Vegetable_Duplicate_Count,Price,Vegetable_Confidence,Price_Confidence,Raw_Price_OCR,Digit_Model_Price,Digit_Model_Confidence,Price_Source,Price_Status,Price_Agreement
test1.jpg,1,left,ಬೀನ್ಸ್,ಆಪ,ಬೀನ್ಸ್,1.0,ok,unique,1,35,0.2349,1.0,35,1355,0.4072,paddleocr,ok_paddle_digit_weak,disagree
test1.jpg,2,left,ಪೋಲ್ ಬೀನ್ಸ್,ಪನೀಲ್ಬೀನಸ್,ಪೋಲ್ ಬೀನ್ಸ್,1.0,REVIEW_DUPLICATE,DUPLICATE_NAME,2,37,0.8044,0.9999,37,1544,0.3825,paddleocr,ok_paddle_digit_weak,disagree
test1.jpg,3,left,ಪೋಲ್ ಬೀನ್ಸ್,ರd aನಸ್,ಪೋಲ್ ಬೀನ್ಸ್,1.0,REVIEW_DUPLICATE,DUPLICATE_NAME,2,PENDING_REVIEW,0.7166,0.0,,115441,0.4133,pending_review,REVIEW_PRICE_MISSING,digit_only
test1.jpg,4,left,ಮೆಣಸಿನಕಾಯಿ,ಮಣನನಕಾು,ಮೆಣಸಿನಕಾಯಿ,1.0,ok,unique,1,42,0.902,0.9943,42,566,0.4404,paddleocr,ok_paddle_digit_weak,disagree
test1.jpg,5,left,ಸೌತೆಕಾಯಿ,ಸೌತಕಾಂು,ಸೌತೆಕಾಯಿ,1.0,ok,unique,1,18,0.899,1.0,18,2,0.307,paddleocr,ok_paddle_digit_weak,disagree
test1.jpg,6,left,ಎಂ.ಸಿ.,ಎಂ.ಸ.,ಎಂ.ಸಿ.,1.0,ok,unique,1,4,0.9739,0.6044,4,4,0.5101,paddleocr,REVIEW_PRICE_LOW_CONF,agree
test1.jpg,7,left,ಸುರಾಮಿ,ಸುನಾವು,ಸುರಾಮಿ,1.0,ok,unique,1,PENDING_REVIEW,0.9179,0.0,,17,0.3621,pending_review,REVIEW_PRICE_MISSING,digit_only
test1.jpg,8,left,ಯಳವನ,ಯಳವನ,ಯಳವನ,1.0,ok,unique,1,3,0.9998,0.9967,3,3,0.5094,paddleocr,ok_paddle_digit_weak,agree
test1.jpg,9,left,ಗುಂಡು ಬದನೆ,ಗುಂಡುಬದನೆ,ಗುಂಡು ಬದನೆ,1.0,ok,unique,1,5,0.9253,0.9997,5,11,0.4562,paddleocr,ok_paddle_digit_weak,disagree
test1.jpg,10,left,ಕಂಬಳಕಾಯಿ,ಕಂಬಳಕಾಯು,ಕಂಬಳಕಾಯಿ,1.0,ok,unique,1,8,0.964,1.0,8,4,0.3051,paddleocr,ok_paddle_digit_weak,disagree
test1.jpg,11,left,ಹೀರೆಕಾಯಿ,೨ೀರೆಕಾಯು,ಹೀರೆಕಾಯಿ,1.0,ok,unique,1,18,0.8051,1.0,18,13,0.3635,paddleocr,ok_paddle_digit_weak,disagree
test1.jpg,12,left,ಪಡವಲ,ಪಡವಲ,ಪಡವಲ,1.0,ok,unique,1,15,0.9991,0.8784,1.5,15,0.4629,paddleocr,ok_paddle_digit_weak,agree
test1.jpg,13,left,ತೊಂಡೆಕಾಯಿ,ತೊಂಡೆಕಾಯು,ತೊಂಡೆಕಾಯಿ,1.0,ok,unique,1,20,0.9453,0.9999,20,67,0.3074,paddleocr,ok_paddle_digit_weak,disagree
test1.jpg,14,left,ಹಾಗಲ-ವೈಟ್,ಹಾಗಲ--ವೈಟ್,ಹಾಗಲ-ವೈಟ್,1.0,ok,unique,1,20,0.9486,1.0,20,27,0.3086,paddleocr,ok_paddle_digit_weak,disagree
test1.jpg,15,left,ಹಾಗಲ-ಗ್ರೀನ್,ಹಾಗಲ--ರೀನ್,ಹಾಗಲ-ಗ್ರೀನ್,0.9474,ok,unique,1,20,0.9293,1.0,20,642,0.3752,paddleocr,ok_paddle_digit_weak,disagree
test1.jpg,16,left,ಕಾಲಿಫ್ಲವರ್,ಕಾಲಿಪವರ್,ಕಾಲಿಫ್ಲವರ್,1.0,ok,unique,1,11,0.9821,0.9996,11,11,0.4664,paddleocr,ok_paddle_digit_weak,agree
test1.jpg,17,left,ತಾll,ತಾll,ಸೌತಕಾಂು,0.3636,REVIEW_NAME,unique,1,PENDING_REVIEW,0.9179,0.0,,,0.0,pending_review,REVIEW_PRICE_MISSING,none
test1.jpg,18,right,ಕಗಕ,ಕಗಕ,ಕಂಬಳಕಾಯು,0.3636,REVIEW_NAME,unique,1,PENDING_REVIEW,0.2827,0.0,,7777740,0.3921,pending_review,REVIEW_PRICE_MISSING,digit_only
test1.jpg,19,right,ಪೇರ್ 1ಕೆ,ವೈo್IJ.Bo GnIBD,ಪೇರ್ 1ಕೆ,1.0,ok,unique,1,PENDING_REVIEW,0.5439,0.0,,1,0.5347,pending_review,REVIEW_PRICE_MISSING,digit_only
test1.jpg,20,right,ದಪ್ಪ ಮೆಣಸು,ದಪವಣಸು,ದಪ್ಪ ಮೆಣಸು,1.0,ok,unique,1,31,0.9733,0.9997,31,251,0.4837,paddleocr,ok_paddle_digit_weak,disagree
test1.jpg,21,right,ಸೋರೆಕಾಯಿ,ಸೋರೆಕಾಂು,ಸೋರೆಕಾಯಿ,1.0,ok,unique,1,4,0.93,0.9997,4,4,0.41,paddleocr,ok_paddle_digit_weak,agree
test1.jpg,22,right,ಬದನೆ-ವೈಟ್,ಬದನೆ-ವೈಟ್,ಬದನೆ-ವೈಟ್,1.0,ok,unique,1,6,0.998,0.9804,6,8,0.2048,paddleocr,ok_paddle_digit_weak,disagree
test1.jpg,23,right,ಕೋಸು-ಚಪಾತಿ,ಕೋಸು--ಚಪಾಶ,ಕೋಸು-ಚಪಾತಿ,0.9474,ok,unique,1,7,0.9391,0.9986,7,7,0.3081,paddleocr,ok_paddle_digit_weak,agree
test1.jpg,24,right,ಕೋಸು-ನ್ಯಾ.ಂ,ಕೋಸು--ಸಾೈಂ,ಕೋಸು-ನ್ಯಾ.ಂ,0.9474,ok,unique,1,5,0.9619,0.9893,5,395,0.4072,paddleocr,ok_paddle_digit_weak,disagree
test1.jpg,25,right,ಸೀಮು ಬದನೆ,ಸೀವಬದನೆ,ಸೀಮು ಬದನೆ,1.0,ok,unique,1,15,0.9102,1.0,15,115,0.4151,paddleocr,ok_paddle_digit_weak,disagree
