No.,Side,Vegetable,Price,Vegetable_Confidence,Price_Confidence,Raw_Price_OCR,Digit_Model_Price,Digit_Model_Confidence,Price_Source
1,left,ಬೀನ್ಸ್,35,0.2349,1.0,35,2757,0.4821,paddleocr
2,left,ಪೋಲ್ ಬೀನ್ಸ್,37,0.8044,0.9999,37,3771,0.4569,paddleocr
3,left,ಪೋಲ್ ಬೀನ್ಸ್,PENDING_REVIEW,0.7166,0.0,,137711,0.4587,pending_review
4,left,ಮೆಣಸಿನಕಾಯಿ,42,0.902,0.9943,42,521,0.4062,paddleocr
5,left,ಸೌತೆಕಾಯಿ,18,0.899,1.0,18,1,0.4053,paddleocr
6,left,ಎಂ.ಸಿ.,4,0.9739,0.6044,4,7,0.5068,paddleocr
7,left,ಸುರಾಮಿ,PENDING_REVIEW,0.9179,0.0,,11,0.5123,pending_review
8,left,ಯರಕಾನ,3,0.9998,0.9967,3,3,0.3076,paddleocr
9,left,ಗುಂಡು ಬದನೆ,5,0.9253,0.9997,5,17,0.4567,paddleocr
10,left,ಕಂಬಳಕಾಯಿ,8,0.964,1.0,8,8,0.5079,paddleocr
11,left,ಹೀರೆಕಾಯಿ,18,0.8051,1.0,18,16,0.4112,paddleocr
12,left,ಪಡವಲ,15,0.9991,0.8784,1.5,13,0.4625,paddleocr
13,left,ತೊಂಡೆಕಾಯಿ,20,0.9453,0.9999,20,22,0.3566,paddleocr
14,left,ಹಾಗಲ-ವೈಟ್,20,0.9486,1.0,20,27,0.3073,paddleocr
15,left,ಹಾಗಲ-ಗ್ರೀನ್,20,0.9293,1.0,20,247,0.4407,paddleocr
16,left,ಕಾಲಿಫ್ಲವರ್,11,0.9821,0.9996,11,11,0.5134,paddleocr
17,left,ತಾll,PENDING_REVIEW,0.9179,0.0,,,0.0,pending_review
18,right,ಕಗಕ,PENDING_REVIEW,0.2827,0.0,,7777744,0.478,pending_review
19,right,ಪೇರ್ 1ಕೆ,PENDING_REVIEW,0.5439,0.0,,1,0.5129,pending_review
20,right,ದಪ್ಪ ಮೆಣಸು,31,0.9733,0.9997,31,151,0.3469,paddleocr
21,right,ಸೋರೆಕಾಯಿ,4,0.93,0.9997,4,7,0.4087,paddleocr
22,right,ಬದನೆ-ವೈಟ್,6,0.998,0.9804,6,6,0.4063,paddleocr
23,right,ಕೋಸು-ಚಪಾತಿ,7,0.9391,0.9986,7,7,0.5085,paddleocr
24,right,ಕೋಸು-ನ್ಯಾ.ಂ,5,0.9619,0.9893,5,357,0.3062,paddleocr
25,right,ಸೀಮು ಬದನೆ,15,0.9102,1.0,15,111,0.5103,paddleocr
26,right,ಬಜ್ಜಿ-ನಾಟಿ,25,0.9366,1.0,25,721,0.2717,paddleocr
27,right,ಬಜ್ಜಿ-ಯುಕೋನ,16,0.9519,1.0,16,19,0.4094,paddleocr
28,right,ಬೆಂಡೆಕಾಯಿ,24,0.9677,0.9978,24,21,0.4067,paddleocr
29,right,ಟೊಮೋಟೋ-ಹುಳಿ,18,0.9453,1.0,18,18,0.3598,paddleocr
30,right,ಬುಲೆಟ್ ಮೆಣಸು,PENDING_REVIEW,0.9572,0.0,,1173,0.4334,pending_review
31,right,ಬೀಟರೂಟ್,PENDING_REVIEW,0.9946,0.0,,1111,0.5074,pending_review
