epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.44954,3.82033,4.2664,2.70563,0,0,0,0,3.6298,4.30989,2.54808,0.0001375,0.0001375,0.0001375
2,14.4106,3.64919,4.20777,2.52223,0,0,0,0,3.59003,4.2997,2.45271,0.000276115,0.000276115,0.000276115
3,21.0317,3.25651,4.07025,2.24379,0,0,0,0,3.55795,4.27746,2.40974,0.00040285,0.00040285,0.00040285
4,27.7604,3.15559,3.95691,2.18115,0,0,0,0,3.3174,4.14427,2.19893,0.000517705,0.000517705,0.000517705
5,34.6365,3.14742,3.88385,2.09288,0.00134,0.00625,0.00068,7e-05,3.0776,4.0147,2.01345,0.00062068,0.00062068,0.00062068
6,41.3905,3.39146,3.82931,2.14199,0.00134,0.00625,0.00068,7e-05,3.0776,4.0147,2.01345,0.000711775,0.000711775,0.000711775
7,47.9017,2.7617,3.72788,1.95167,0.02403,0.14688,0.02674,0.00914,2.8245,3.72297,1.86131,0.00079099,0.00079099,0.00079099
8,54.6887,2.99602,3.6831,2.02401,0.02403,0.14688,0.02674,0.00914,2.8245,3.72297,1.86131,0.000858325,0.000858325,0.000858325
9,61.9232,3.03957,3.66559,1.89788,0.02403,0.14688,0.02674,0.00914,2.8245,3.72297,1.86131,0.000854,0.000854,0.000854
10,69.5334,3.23355,3.60878,1.92728,0.02311,0.20625,0.03864,0.01139,2.89595,3.45413,1.85964,0.0008045,0.0008045,0.0008045
11,77.2618,3.28592,3.57429,2.01891,0.02311,0.20625,0.03864,0.01139,2.89595,3.45413,1.85964,0.000755,0.000755,0.000755
12,84.9998,3.30725,3.5741,1.9997,0.29009,0.14688,0.03709,0.01184,2.93532,3.31079,1.84577,0.0007055,0.0007055,0.0007055
13,92.482,2.95197,3.47713,1.84449,0.29009,0.14688,0.03709,0.01184,2.93532,3.31079,1.84577,0.000656,0.000656,0.000656
14,99.7363,2.87471,3.46486,1.81465,0.29009,0.14688,0.03709,0.01184,2.93532,3.31079,1.84577,0.0006065,0.0006065,0.0006065
15,107.127,3.05425,3.46473,1.92129,0.05249,0.25938,0.05366,0.01524,3.04935,3.24043,1.88368,0.000557,0.000557,0.000557
16,114.137,3.0551,3.34891,1.99558,0.05249,0.25938,0.05366,0.01524,3.04935,3.24043,1.88368,0.0005075,0.0005075,0.0005075
17,120.672,3.02215,3.31848,1.98799,0.05249,0.25938,0.05366,0.01524,3.04935,3.24043,1.88368,0.000458,0.000458,0.000458
18,127.604,3.03004,3.21991,1.97594,0.0603,0.3,0.06553,0.01875,3.08583,3.15967,1.87602,0.0004085,0.0004085,0.0004085
19,134.474,2.99082,3.24326,1.91053,0.0603,0.3,0.06553,0.01875,3.08583,3.15967,1.87602,0.000359,0.000359,0.000359
20,141.333,3.02545,3.2552,1.95584,0.06082,0.34375,0.08547,0.02421,3.00438,3.01844,1.80394,0.0003095,0.0003095,0.0003095
21,148.395,2.94731,3.1775,1.96738,0.06082,0.34375,0.08547,0.02421,3.00438,3.01844,1.80394,0.00026,0.00026,0.00026
22,154.988,2.88965,3.15989,1.88393,0.06082,0.34375,0.08547,0.02421,3.00438,3.01844,1.80394,0.0002105,0.0002105,0.0002105
23,162.061,2.98817,3.09367,1.8498,0.34317,0.30312,0.12223,0.03785,2.93869,2.99246,1.75801,0.000161,0.000161,0.000161
24,169,2.87752,3.07406,1.86489,0.34317,0.30312,0.12223,0.03785,2.93869,2.99246,1.75801,0.0001115,0.0001115,0.0001115
25,175.822,2.85218,3.11339,1.90522,0.34317,0.30312,0.12223,0.03785,2.93869,2.99246,1.75801,6.2e-05,6.2e-05,6.2e-05
1,7.56603,3.946,4.31894,2.88631,0,0,0,0,3.65735,4.33451,2.69816,6.25e-05,6.25e-05,6.25e-05
2,14.71,3.54573,4.24008,2.55553,0,0,0,0,3.47549,4.32093,2.54297,0.000123888,0.000123888,0.000123888
3,21.7481,3.15612,4.11317,2.23117,0,0,0,0,3.38827,4.29869,2.46118,0.000170425,0.000170425,0.000170425
4,28.8858,2.90445,3.99035,2.06295,0,0,0,0,3.17089,4.20198,2.31854,0.000202113,0.000202113,0.000202113
5,35.7201,2.75565,3.84654,1.95219,0,0,0,0,2.9585,4.09665,2.13516,0.00021895,0.00021895,0.00021895
6,42.8333,2.64495,3.71574,1.83478,0.00739,0.04,0.00942,0.00213,2.78996,3.99927,1.95765,0.000220937,0.000220937,0.000220937
7,50.1667,2.59997,3.64686,1.8064,0.01362,0.08667,0.02473,0.00661,2.705,3.92106,1.8764,0.000208075,0.000208075,0.000208075
8,57.1674,2.52904,3.54306,1.77664,0.01362,0.08667,0.02473,0.00661,2.705,3.92106,1.8764,0.000180363,0.000180363,0.000180363
9,64.3066,2.5375,3.49091,1.74153,0.02338,0.14667,0.04117,0.01122,2.62687,3.83966,1.80772,0.0001378,0.0001378,0.0001378
10,71.1629,2.41975,3.46544,1.70718,0.03023,0.19,0.05567,0.0154,2.58976,3.76375,1.77432,8.03875e-05,8.03875e-05,8.03875e-05
