epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.40721,3.87993,4.32272,2.82626,0,0,0,0,3.60511,4.31254,2.51801,0.0001375,0.0001375,0.0001375
2,13.9171,3.33447,4.18542,2.3733,0,0,0,0,3.48345,4.28512,2.39429,0.000276115,0.000276115,0.000276115
3,20.42,3.04453,4.01171,2.11067,0,0,0,0,3.32111,4.19051,2.20845,0.00040285,0.00040285,0.00040285
4,27.1846,2.77654,3.83881,1.94854,0.00449,0.03,0.00275,0.00032,3.08953,4.02723,1.96886,0.000517705,0.000517705,0.000517705
5,33.7953,2.65128,3.71339,1.87671,0.01984,0.12333,0.02518,0.00609,2.87474,3.86414,1.83947,0.00062068,0.00062068,0.00062068
6,40.6224,2.63317,3.61799,1.81239,0.01984,0.12333,0.02518,0.00609,2.87474,3.86414,1.83947,0.000711775,0.000711775,0.000711775
7,47.2924,2.54778,3.52248,1.77154,0.06372,0.3,0.11934,0.02974,2.89271,3.54365,1.86068,0.00079099,0.00079099,0.00079099
8,54.6667,2.48762,3.41151,1.74001,0.06372,0.3,0.11934,0.02974,2.89271,3.54365,1.86068,0.000858325,0.000858325,0.000858325
9,61.8688,2.58966,3.38343,1.76466,0.06372,0.3,0.11934,0.02974,2.89271,3.54365,1.86068,0.000854,0.000854,0.000854
10,69.4751,2.47867,3.19838,1.70868,0.61854,0.11667,0.17005,0.04667,2.81465,3.0566,1.78572,0.0008045,0.0008045,0.0008045
11,76.814,2.52296,3.12958,1.73414,0.61854,0.11667,0.17005,0.04667,2.81465,3.0566,1.78572,0.000755,0.000755,0.000755
12,84.3076,2.52633,3.11747,1.72356,0.3371,0.32333,0.0934,0.02862,2.70215,2.94498,1.73638,0.0007055,0.0007055,0.0007055
13,91.7551,2.42445,2.9191,1.6719,0.3371,0.32333,0.0934,0.02862,2.70215,2.94498,1.73638,0.000656,0.000656,0.000656
14,99.1261,2.49955,2.8864,1.67853,0.3371,0.32333,0.0934,0.02862,2.70215,2.94498,1.73638,0.0006065,0.0006065,0.0006065
15,106.751,2.36575,2.78371,1.61456,0.41959,0.31218,0.17943,0.06047,2.63291,2.70969,1.68935,0.000557,0.000557,0.000557
16,114.849,2.4414,2.6991,1.63502,0.41959,0.31218,0.17943,0.06047,2.63291,2.70969,1.68935,0.0005075,0.0005075,0.0005075
17,123.201,2.31827,2.74565,1.63071,0.41959,0.31218,0.17943,0.06047,2.63291,2.70969,1.68935,0.000458,0.000458,0.000458
18,131.665,2.42683,2.59238,1.65581,0.23236,0.39232,0.18278,0.06407,2.6368,2.6299,1.69728,0.0004085,0.0004085,0.0004085
